,deltaG,fraction of absolute ddG below 0.2,fraction of absolute ddG below 0.4,fraction of absolute ddG below 0.6,fraction of absolute ddG below 0.8,fraction of absolute ddG below 1.0,fraction of ddG above -0.2,fraction of ddG above -0.4,fraction of ddG above -0.6,fraction of ddG above -0.8,fraction of ddG above 0,fraction of deltaG zero,higher-level coarse-grained structure,length of coarse-grained structure including exterior,length of higher-level coarse-grained structure,lower quartile ddG incl inf,median deltadeltaG,number of basepairs,structure
575,0.40803382479552236,0.1848249941273197,0.2127084801503406,0.2320178529480855,0.2511392999765093,0.26948555320648343,0.19971811134601833,0.21994362226920366,0.2361992013154804,0.2537467700258398,0.17728447263330985,0.05400000000000005,[],14,2,0.8000000827014446,1.1999998092651367,8,.((((.((.((.......))))...)).))
576,0.41535353395673963,0.1976206509539843,0.22215488215488216,0.24267115600448932,0.26202020202020204,0.2814141414141414,0.20958473625140292,0.22785634118967452,0.24493827160493828,0.2630527497194164,0.18918069584736252,0.010000000000000009,[[][]],11,6,0.7000000476837158,1.0,8,....(((((.....)).(((...))).)))
577,0.4467505304068639,0.23782902399254602,0.2708362450500815,0.30002329373398556,0.32613556953179595,0.35133938970416956,0.2562077801071512,0.28101560680177035,0.30493827160493825,0.32851153039832287,0.22911716748194735,0.04600000000000004,[][],12,4,0.30000004917383194,0.9000000953674316,6,.((..((....))...))((......))..
578,0.4245202419981519,0.21615730869462213,0.24401800521203507,0.2679222932954276,0.29168443496801705,0.31471215351812365,0.22940061596778014,0.2506278133143805,0.2710732054015636,0.2930348258706468,0.20461975835110163,0.062000000000000055,[][],13,4,0.5,0.7000002861022949,8,.((..(((...))).))..(((....))).
579,0.5652719828374216,0.33679683867968385,0.36847977684797767,0.3910739191073919,0.4109019060901906,0.4291027429102743,0.3601115760111576,0.38047419804741983,0.397768479776848,0.4145281264528127,0.33496048349604834,0.04400000000000004,[][],8,4,0.0,4.76837158203125e-07,8,.....(((...)))(((((.....))))).
580,0.4463768056892707,0.22590292155509548,0.2527030135725788,0.2782608695652174,0.30078214860823554,0.3238785369220152,0.23922245226593053,0.2599953991258339,0.2813664596273292,0.30197837589141935,0.21614906832298136,0.03400000000000003,[][],12,4,0.40000009536743164,0.8999999761581421,7,(((........))).((..((...)).)).
581,0.5579831934369662,0.20140056022408964,0.2315592903828198,0.25585901027077496,0.27789449112978526,0.29981325863678804,0.22418300653594772,0.24465452847805788,0.26374883286647993,0.2822128851540616,0.19906629318394023,0.04800000000000004,[],15,2,0.5999999046325684,0.8999998569488525,8,..((((..((((....)).))..)).))..
582,0.4896265568822251,0.24396035039188566,0.2730059935454126,0.29573536191793454,0.316159520516367,0.3359151682803135,0.2612724757952974,0.2826878745965883,0.30064545873674503,0.3185799907791609,0.23780544029506684,0.03600000000000003,[][],10,4,0.2999999523162842,0.3000001907348633,9,(((.....)))...((((((...)))).))
583,0.40329217806519796,0.15534979423868311,0.1855281207133059,0.21035665294924555,0.2346822130772748,0.2584362139917695,0.17123914037494284,0.1942615454961134,0.21499771376314586,0.23689986282578876,0.14629629629629629,0.028000000000000025,[],14,2,1.0,1.2000001668930054,8,.((((..((((....))....))..)).))
584,0.5270562786689569,0.2781866281866282,0.3032948532948533,0.32542087542087544,0.34365079365079365,0.36137566137566135,0.2996632996632997,0.31604136604136607,0.3329244829244829,0.3478835978835979,0.28003848003848003,0.07599999999999996,[],11,2,0.09999990463256836,0.2999999523162842,8,((.((.((((........))))..))))..
585,0.4661870513924306,0.17916333599786838,0.20167865707434052,0.22011723954169998,0.23653077537969625,0.25278443911537435,0.18998134825472954,0.20650146549427126,0.22187583266719957,0.2367972288835598,0.1721023181454836,0.16600000000000004,[],13,2,1.0,1.0000004768371582,9,((..((.(((((.......)).))))).))
586,0.4113289761582231,0.3167271847010409,0.36005809731299926,0.39694989106753814,0.4273057371096587,0.4550714112805616,0.3382958121520213,0.3713144517066086,0.4019607843137255,0.4300169450496248,0.3047446138949407,0.08199999999999996,[][],8,4,1.1920928955078125e-07,0.49999988079071045,5,(((............)))...((....)).
587,0.4849372405137976,0.30388191538819154,0.3387726638772664,0.36455137145513716,0.38709902370990235,0.4067642956764296,0.32840539284053927,0.35183635518363554,0.3707112970711297,0.3897489539748954,0.3024407252440725,0.04400000000000004,[][],10,4,2.384185791015625e-07,0.2999999523162842,7,((......))((.(((........))))).
588,0.4478873167509284,0.22812430136373799,0.2556896937178627,0.28095238095238095,0.3029733959311424,0.3260004471272077,0.2469930695282808,0.2660854012966689,0.286697965571205,0.3056114464565169,0.22705119606528057,0.006000000000000005,[],11,2,0.40000009536743164,0.6999998092651367,8,((...(((.(((.....))).)))....))
589,0.44199584404358994,0.28981288981288983,0.33076923076923076,0.3737121737121737,0.40926310926310927,0.44744744744744747,0.31644721644721646,0.3454146454146454,0.380965580965581,0.4132363132363132,0.28754908754908753,0.038000000000000034,[],8,2,0.09999999403953552,0.7000000476837158,4,((........((......)).......)).
590,0.5307517136555326,0.26013667425968107,0.2856492027334852,0.3095925082257656,0.33113135914958236,0.35039230574538094,0.27787901797013415,0.29663376360415084,0.31546443938243485,0.3341179448240952,0.2547709440647937,0.122,[],11,2,0.19999998807907104,0.40000009536743164,8,...(((((.(((......)))))...))).
591,0.6134903663869078,0.2667142517249584,0.30157030692362596,0.32997858672376873,0.3596002855103497,0.38567689745419936,0.30140375921960505,0.32514870330716156,0.3462050916012372,0.3693552224601475,0.2740423507018796,0.06599999999999995,[],8,2,0.19999980926513672,0.5,7,..(((((((.........)))....)))).
592,0.2079207935545704,0.15247524752475247,0.1685093509350935,0.18396589658965898,0.20720572057205722,0.2248074807480748,0.15286028602860285,0.1685093509350935,0.18396589658965898,0.20720572057205722,0.1377887788778878,0.19199999999999995,[][],12,4,1.2999998778104782,1.2999999523162842,9,(((((...((...)))).)))((.....))
593,0.42026144043747377,0.2120067780198499,0.2374485596707819,0.2571532316630356,0.2760106511740499,0.29327039457758414,0.22546598886468167,0.24408133623819897,0.2604696199467441,0.27748729121278143,0.20476882110869038,0.08199999999999996,[],11,2,0.5999999046325684,0.5999999046325684,9,..(((((((((...)))..))...))))..
