,25percentile,50percentile,5percentile,75percentile,95percentile,role in structure
0,0.0,0.3,0.0,0.8,1.3,hairpin loop (end)
1,0.0,0.0,0.0,0.0,0.0,hairpin loop (middle)
2,1.3,2.1,0.1,2.4,2.9,stack (end)
3,0.8,2.2,0.3,2.7,4.9,stack (middle)
4,0.0,0.0,0.0,0.0,0.0,bulge (end)
5,1.0,2.6,0.0,2.6,2.7,internal loop (end)
6,0.0,0.1,0.0,0.3,0.7,exterior loop (end)
7,0.0,0.0,0.0,0.0,0.0,exterior loop (middle)
