,25percentile,50percentile,5percentile,75percentile,95percentile,role in structure
0,0.0,0.5,0.0,2.0,4.5,stack (middle)
1,0.3,1.1,0.0,2.2,4.4,stack (end)
2,0.0,0.3,0.0,1.5,3.6,bulge (middle)
3,0.2,1.0,0.0,2.4,4.6,bulge (end)
4,0.0,0.3,0.0,1.5,3.6,internal loop (middle)
5,0.4,2.0,0.0,4.0,6.6,internal loop (end)
6,0.0,0.0,0.0,0.8,2.9,hairpin loop (middle)
7,0.0,0.7,0.0,2.1,4.5,hairpin loop (end)
8,0.0,0.0,0.0,0.9,2.9,exterior loop (middle)
9,0.0,0.1,0.0,1.3,3.8,exterior loop (end)
